organ,source,target,source_type,target_type
blood_vasculature,UBERON:0000948,UBERON:0002079,AS,AS
blood_vasculature,UBERON:0000948,UBERON:0002084,AS,AS
blood_vasculature,UBERON:0000948,UBERON:0002078,AS,AS
blood_vasculature,UBERON:0000948,UBERON:0002080,AS,AS
blood_vasculature,UBERON:0002079,CL:0010008,AS,CT
blood_vasculature,UBERON:0002079,FMA:49913,AS,AS
blood_vasculature,UBERON:0002079,FMA:49916,AS,AS
blood_vasculature,UBERON:0002079,UBERON:0002016,AS,AS
blood_vasculature,UBERON:0002079,FMA:49911,AS,AS
blood_vasculature,UBERON:0002079,FMA:49914,AS,AS
blood_vasculature,FMA:49913,CL:0000071,AS,CT
blood_vasculature,FMA:49913,CL:0002543,AS,CT
blood_vasculature,FMA:49916,CL:0000071$$6,AS,CT
blood_vasculature,FMA:49916,CL:0002543$$7,AS,CT
blood_vasculature,UBERON:0002016,CL:0000071$$8,AS,CT
blood_vasculature,UBERON:0002016,CL:0002543$$9,AS,CT
blood_vasculature,UBERON:0002016,UBERON:0014904,AS,AS
lung,UBERON:0002016,UBERON:0014904$$6946,AS,AS
blood_vasculature,UBERON:0014904,CL:0000071$$10,AS,CT
blood_vasculature,UBERON:0014904,CL:0002543$$11,AS,CT
blood_vasculature,UBERON:0014904,FMA:9413,AS,AS
blood_vasculature,UBERON:0014904$$6946,FMA:9413,AS,AS
blood_vasculature,FMA:9413,CL:0000071$$12,AS,CT
blood_vasculature,FMA:9413,CL:0002543$$13,AS,CT
blood_vasculature,FMA:9413,ASCTB-TEMP:pulmonary-venule,AS,AS
blood_vasculature,ASCTB-TEMP:pulmonary-venule,CL:0000071$$14,AS,CT
blood_vasculature,ASCTB-TEMP:pulmonary-venule,CL:1000414,AS,CT
blood_vasculature,ASCTB-TEMP:pulmonary-venule,ASCTB-TEMP:bronchial-capillary-2,AS,AS
blood_vasculature,ASCTB-TEMP:pulmonary-venule,ASCTB-TEMP:intra-acinar-venule,AS,AS
blood_vasculature,ASCTB-TEMP:bronchial-capillary-2,CL:0000071$$15,AS,CT
blood_vasculature,ASCTB-TEMP:bronchial-capillary-2,CL:0002144,AS,CT
blood_vasculature,ASCTB-TEMP:intra-acinar-venule,CL:0000071$$16,AS,CT
blood_vasculature,ASCTB-TEMP:intra-acinar-venule,CL:1000414$$17,AS,CT
blood_vasculature,ASCTB-TEMP:intra-acinar-venule,ASCTB-TEMP:post-alveolar-capillary,AS,AS
blood_vasculature,ASCTB-TEMP:post-alveolar-capillary,CL:0000071$$18,AS,CT
blood_vasculature,ASCTB-TEMP:post-alveolar-capillary,CL:0002144$$19,AS,CT
blood_vasculature,FMA:49911,CL:0000071$$20,AS,CT
blood_vasculature,FMA:49911,CL:0002543$$21,AS,CT
blood_vasculature,FMA:49914,CL:0000071$$22,AS,CT
blood_vasculature,FMA:49914,CL:0002543$$23,AS,CT
blood_vasculature,UBERON:0002084,CL:0010008$$24,AS,CT
