organ,source,target,source_type,target_type
blood_vasculature,UBERON:0013702,UBERON:0000948,AS,AS
allen_brain,UBERON:0013702,UBERON:0000955,AS,AS
blood_pelvis,UBERON:0013702,UBERON:0000178,AS,AS
bone_marrow,UBERON:0013702,UBERON:0002371,AS,AS
eye,UBERON:0013702,UBERON:0000970,AS,AS
fallopian_tube,UBERON:0013702,UBERON:0003889,AS,AS
kidney,UBERON:0013702,UBERON:0002113,AS,AS
knee,UBERON:0013702,UBERON:0001465,AS,AS
large_intestine,UBERON:0013702,UBERON:0000059,AS,AS
liver,UBERON:0013702,UBERON:0002107,AS,AS
lung,UBERON:0013702,UBERON:0001004,AS,AS
lung,UBERON:0013702,UBERON:0008886,AS,AS
lung,UBERON:0013702,UBERON:0004573,AS,AS
lung,UBERON:0013702,UBERON:0003920,AS,AS
lymph_node,UBERON:0013702,UBERON:0000029,AS,AS
main_bronchus,UBERON:0013702,UBERON:0002182,AS,AS
ovary,UBERON:0013702,UBERON:0000992,AS,AS
palatine_tonsil,UBERON:0013702,UBERON:0002373,AS,AS
pancreas,UBERON:0013702,UBERON:0001264,AS,AS
placenta,UBERON:0013702,UBERON:0001987,AS,AS
prostate,UBERON:0013702,UBERON:0002367,AS,AS
skin,UBERON:0013702,UBERON:0002097,AS,AS
small_intestine,UBERON:0013702,UBERON:0002108,AS,AS
spinal_cord,UBERON:0013702,UBERON:0002240,AS,AS
spleen,UBERON:0013702,UBERON:0002106,AS,AS
thymus,UBERON:0013702,UBERON:0002370,AS,AS
trachea,UBERON:0013702,UBERON:0003126,AS,AS
ureter,UBERON:0013702,UBERON:0000056,AS,AS
urinary_bladder,UBERON:0013702,UBERON:0001255,AS,AS
uterus,UBERON:0013702,UBERON:0000995,AS,AS
blood_vasculature,UBERON:0000948,UBERON:0002079,AS,AS
blood_vasculature,UBERON:0000948,UBERON:0002084,AS,AS
blood_vasculature,UBERON:0000948,UBERON:0002078,AS,AS
blood_vasculature,UBERON:0000948,UBERON:0002080,AS,AS
heart,UBERON:0000948,UBERON:0011820,AS,AS
